57    Q0   CACM-3077    1 143.306159   Tf_idf_SE
57    Q0   CACM-2189   41  22.534760   Tf_idf_SE
57    Q0   CACM-3008   42  22.347099   Tf_idf_SE
57    Q0   CACM-1170   43  22.301725   Tf_idf_SE
57    Q0   CACM-1811   44  22.252129   Tf_idf_SE
57    Q0   CACM-3103   45  22.226829   Tf_idf_SE
57    Q0   CACM-2344   46  22.059005   Tf_idf_SE
57    Q0   CACM-2175   47  22.042183   Tf_idf_SE
57    Q0   CACM-3033   48  21.902708   Tf_idf_SE
57    Q0   CACM-1135   49  21.845344   Tf_idf_SE
57    Q0   CACM-1162   50  21.832780   Tf_idf_SE
57    Q0   CACM-1977   51  21.824458   Tf_idf_SE
57    Q0   CACM-1029   52  21.766865   Tf_idf_SE
57    Q0   CACM-2883   53  21.747645   Tf_idf_SE
57    Q0   CACM-2972   54  21.693318   Tf_idf_SE
57    Q0   CACM-1046   55  21.545026   Tf_idf_SE
57    Q0   CACM-2534   56  21.451580   Tf_idf_SE
57    Q0   CACM-1323   57  21.416526   Tf_idf_SE
57    Q0   CACM-1391   58  21.367832   Tf_idf_SE
57    Q0   CACM-1458   59  21.357390   Tf_idf_SE
57    Q0   CACM-2971   60  21.263120   Tf_idf_SE
57    Q0   CACM-3150   61  21.209683   Tf_idf_SE
57    Q0   CACM-1805   62  21.182042   Tf_idf_SE
57    Q0   CACM-2148   63  21.029198   Tf_idf_SE
57    Q0   CACM-1835   64  21.019921   Tf_idf_SE
57    Q0   CACM-1695   65  20.951612   Tf_idf_SE
57    Q0   CACM-3036   66  20.764612   Tf_idf_SE
57    Q0   CACM-0071   67  20.709650   Tf_idf_SE
57    Q0   CACM-2851   68  20.674620   Tf_idf_SE
57    Q0   CACM-2542   69  20.662198   Tf_idf_SE
57    Q0   CACM-3069   70  20.613664   Tf_idf_SE
57    Q0   CACM-1844   71  20.588794   Tf_idf_SE
57    Q0   CACM-2342   72  20.434544   Tf_idf_SE
57    Q0   CACM-0695   73  20.432447   Tf_idf_SE
57    Q0   CACM-2480   74  20.425554   Tf_idf_SE
57    Q0   CACM-2856   75  20.366709   Tf_idf_SE
57    Q0   CACM-2215   76  20.282886   Tf_idf_SE
57    Q0   CACM-2160   77  20.277063   Tf_idf_SE
57    Q0   CACM-2905   78  20.175040   Tf_idf_SE
57    Q0   CACM-3138   79  20.045106   Tf_idf_SE
57    Q0   CACM-2929   80  19.980162   Tf_idf_SE
57    Q0   CACM-2097   81  19.947572   Tf_idf_SE
57    Q0   CACM-0724   82  19.945666   Tf_idf_SE
57    Q0   CACM-1327   83  19.928903   Tf_idf_SE
57    Q0   CACM-2314   84  19.916256   Tf_idf_SE
57    Q0   CACM-2178   85  19.874778   Tf_idf_SE
57    Q0   CACM-3031   86  19.778426   Tf_idf_SE
57    Q0   CACM-2937   87  19.724117   Tf_idf_SE
57    Q0   CACM-2718   88  19.587225   Tf_idf_SE
57    Q0   CACM-2898   89  19.568871   Tf_idf_SE
57    Q0   CACM-3091   90  19.567985   Tf_idf_SE
57    Q0   CACM-1476   91  19.478709   Tf_idf_SE
57    Q0   CACM-2538   92  19.445617   Tf_idf_SE
57    Q0   CACM-2959   93  19.362634   Tf_idf_SE
57    Q0   CACM-2324   94  19.359145   Tf_idf_SE
57    Q0   CACM-2437   95  19.256573   Tf_idf_SE
57    Q0   CACM-2106   96  19.148947   Tf_idf_SE
57    Q0   CACM-1703   97  19.109467   Tf_idf_SE
57    Q0   CACM-1827   98  19.101081   Tf_idf_SE
57    Q0   CACM-2939   99  19.072322   Tf_idf_SE
57    Q0   CACM-3052  100  19.037796   Tf_idf_SE
